##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	NGS200B_25_192564_FC_F_BRCAv2_Pan1449_S1_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	663216
Sequences flagged as poor quality	0
Sequence length	151
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.720928023449375	34.0	34.0	34.0	31.0	34.0
2	32.816978179054786	34.0	34.0	34.0	31.0	34.0
3	32.82590588888085	34.0	34.0	34.0	32.0	34.0
4	32.82352205013148	34.0	34.0	34.0	31.0	34.0
5	32.84049238860341	34.0	34.0	34.0	32.0	34.0
6	36.05687136619141	38.0	37.0	38.0	33.0	38.0
7	36.014192962775326	38.0	37.0	38.0	32.0	38.0
8	36.05407589684206	38.0	37.0	38.0	33.0	38.0
9	36.14269710019059	38.0	37.0	38.0	34.0	38.0
10	36.106960628211624	38.0	37.0	38.0	34.0	38.0
11	36.02332121058599	38.0	37.0	38.0	34.0	38.0
12	36.035237388724035	38.0	37.0	38.0	33.0	38.0
13	36.08380678391354	38.0	37.0	38.0	34.0	38.0
14	35.91670134616776	38.0	37.0	38.0	32.0	38.0
15	36.00309703022846	38.0	37.0	38.0	33.0	38.0
16	36.00508733203059	38.0	37.0	38.0	33.0	38.0
17	36.023900207473886	38.0	37.0	38.0	33.0	38.0
18	35.99151407686184	38.0	37.0	38.0	32.0	38.0
19	35.99315004463101	38.0	37.0	38.0	32.0	38.0
20	35.823873368555645	38.0	37.0	38.0	32.0	38.0
21	35.88314063593158	38.0	37.0	38.0	32.0	38.0
22	35.93102850353429	38.0	37.0	38.0	32.0	38.0
23	35.75878145279969	38.0	37.0	38.0	31.0	38.0
24	35.818012532870135	38.0	37.0	38.0	31.0	38.0
25	35.80352404043328	38.0	37.0	38.0	31.0	38.0
26	35.85943342742033	38.0	37.0	38.0	32.0	38.0
27	35.80578423922221	38.0	37.0	38.0	31.0	38.0
28	35.78186744589998	38.0	37.0	38.0	31.0	38.0
29	35.784929796627345	38.0	37.0	38.0	31.0	38.0
30	35.83739988178814	38.0	37.0	38.0	32.0	38.0
31	35.86810028708596	38.0	37.0	38.0	32.0	38.0
32	35.875882065571396	38.0	37.0	38.0	32.0	38.0
33	35.849493980844855	38.0	37.0	38.0	32.0	38.0
34	35.78487099225592	38.0	37.0	38.0	31.0	38.0
35	35.88202938409206	38.0	37.0	38.0	32.0	38.0
36	35.84626426382958	38.0	37.0	38.0	32.0	38.0
37	35.88909646329401	38.0	37.0	38.0	32.0	38.0
38	35.89116064751152	38.0	37.0	38.0	32.0	38.0
